03244;1876;90;121;122;99;83;115;182;172;177;148;157;103;142;59;53;30;13;7;2;2;0;855;864;1461;308;181;20;2;20;7;53;1;20;136;1;20;50;7;20;23;0;54;4;0;0;21;1;3;12;0;8;2;0;1;22;6;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;856;575;0;89;198;63;74;324;907;191;317
03245;2382;135;161;125;131;139;170;247;252;238;138;142;105;148;107;70;27;22;12;12;2;0;1125;1100;1557;718;294;20;49;20;6;38;6;20;210;1;31;194;7;106;20;3;156;0;21;6;19;2;5;67;4;4;19;1;3;49;36;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;25;1003;1028;31;62;100;62;198;269;1260;132;461
03246;5581;260;305;292;340;357;348;401;355;426;401;405;260;254;247;260;263;240;122;39;7;0;2717;2707;5088;386;211;21;122;21;0;21;0;21;85;1;27;102;7;102;0;0;58;0;9;3;15;9;1;10;9;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;2127;2888;0;96;313;308;900;931;2234;212;996
03247;1444;36;39;28;62;68;82;122;68;96;69;124;76;119;100;103;83;80;58;21;8;3;553;734;1249;88;21;21;0;22;7;21;2;25;1;0;22;4;7;2;0;1;58;12;5;1;5;3;0;1;3;7;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;485;565;15;101;121;35;40;166;424;658;121
03248;2059;88;120;147;185;116;122;133;153;192;228;239;122;84;44;53;17;7;7;3;0;0;929;973;1757;195;122;21;8;21;3;41;0;20;82;2;22;19;7;8;7;0;36;0;3;2;12;1;2;6;1;0;4;1;2;4;4;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;13;940;865;23;40;34;25;30;154;1165;219;466
03249;1401;67;64;43;67;60;96;116;116;142;103;119;66;83;56;73;52;47;26;5;1;0;585;659;1033;261;68;22;7;22;3;35;4;21;31;1;32;15;7;7;0;0;138;3;21;13;8;3;0;31;13;22;11;0;3;24;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;16;642;517;0;38;47;25;99;180;845;139;113
03250;1046;42;43;15;56;49;56;94;82;96;71;86;44;75;49;84;49;30;17;6;2;1;415;474;819;120;23;20;1;20;6;20;1;21;13;0;21;18;7;12;0;0;72;0;2;1;18;0;0;7;4;12;13;0;10;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;287;550;0;8;44;33;82;101;571;166;93
03251;1085;46;61;32;69;51;76;99;74;110;81;113;47;46;30;52;41;28;17;10;3;0;432;496;713;265;46;20;10;21;1;20;2;20;32;0;26;23;7;10;1;0;162;0;12;11;19;0;0;77;7;24;7;0;3;26;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;483;278;28;56;83;42;130;189;553;68;103
02220;1692;72;85;60;83;72;134;169;164;160;113;138;84;116;93;67;35;30;13;4;1;0;749;786;905;680;591;20;0;21;1;20;3;20;584;0;20;22;7;6;0;4;34;3;17;0;0;0;0;4;1;4;0;0;0;27;22;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;594;861;0;9;71;25;305;214;877;51;220
02221;1441;43;44;40;52;50;50;108;101;126;83;106;57;106;135;155;84;56;32;11;2;1;610;674;1180;154;52;20;9;20;2;33;0;22;24;1;45;7;7;1;0;0;51;6;3;0;9;3;1;7;3;7;6;2;0;13;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;31;334;669;0;47;234;25;163;271;604;193;185
02222;1285;36;39;29;52;34;71;80;65;89;79;95;63;84;85;133;86;68;56;32;8;2;407;721;1092;86;24;23;0;21;10;21;2;22;4;1;24;15;7;0;0;0;37;2;3;3;2;0;0;7;10;2;0;0;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;1;0;0;0;0;6;454;538;15;38;83;25;30;45;275;635;275
02223;1767;87;94;74;111;108;135;171;136;167;150;141;95;86;47;80;34;36;11;2;2;1;832;778;1100;560;124;20;42;22;4;21;9;20;65;0;26;204;7;203;0;0;218;3;11;4;37;5;4;76;7;39;10;3;3;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;583;893;23;35;76;37;129;220;952;77;352
02224;1881;57;78;50;102;87;109;185;143;169;142;175;101;111;61;92;71;76;56;15;2;0;761;963;1412;362;49;21;0;23;5;22;4;22;26;1;23;16;8;11;1;2;235;6;34;6;12;10;7;53;18;28;40;0;5;55;30;0;0;0;0;;;;0;0;0;1;0;0;0;2;0;0;3;0;0;0;0;7;738;714;39;93;140;40;131;238;922;486;64
02225;3195;153;178;175;174;181;201;255;254;284;262;258;193;189;138;120;81;45;37;14;3;1;1504;1534;2517;571;248;20;81;22;18;25;1;22;136;3;25;86;8;80;0;0;210;26;4;5;54;9;6;23;10;37;12;7;10;18;17;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;1205;1450;112;71;199;25;214;203;1644;584;525
02226;846;10;22;21;40;34;31;74;28;69;63;96;46;54;47;83;38;53;24;10;3;1;354;335;692;47;26;20;6;20;0;20;2;20;18;0;21;1;7;1;0;0;19;0;5;2;0;6;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;238;329;10;10;101;25;85;216;383;62;75
02227;2028;208;120;68;67;46;115;333;349;229;127;115;56;81;50;47;11;3;2;2;0;0;936;935;1834;87;41;20;9;23;0;21;11;20;15;0;20;6;7;1;2;3;25;1;1;8;4;2;0;4;1;0;1;0;2;9;9;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;894;820;31;109;17;25;30;206;978;455;334
01203;308;3;12;4;24;3;3;35;6;35;13;42;6;34;7;37;13;11;12;9;0;0;88;63;198;3;1;20;1;20;0;20;0;20;0;0;20;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;78;0;0;21;25;35;100;95;17;35
01204;1280;25;48;46;59;42;56;99;79;106;116;128;65;58;47;87;82;81;36;18;2;1;494;629;1082;91;34;23;5;22;1;22;2;22;13;1;20;1;7;0;1;0;45;1;5;5;5;3;1;8;2;2;2;0;1;10;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;0;1;0;1;0;1;656;320;56;10;81;25;60;111;355;592;137
