id;x;y;col_1;col_2
320532;442114.756024841;4435614.57722431;59116;26543
320530;423491.29063614;4450604.67349022;5630;10820
320529;446869.803346015;4444654.90886635;11722;93232
320520;436127.191230778;4538796.87522398;29197;2230
320519;436686.899651363;4438941.95317697;50236;30702
320517;436200.825866206;4444735.03757615;9737;3835
320503;570393.142114038;4405712.18182424;14462;24935
320516;448953.897462105;4473755.99711134;95656;79954
320515;415443.12191657;4460331.45537068;10717;28626
320514;428394.931855587;4500912.41925625;55290;95178
320510;480827.054344904;4479537.86381686;40817;25714
320498;417976.626305547;4335750.40939421;13573;7400
320458;429796.964891429;4504909.17973266;76478;89
320480;436444.708830514;4430442.94624558;2652;4729
320475;423374.167918154;4472008.6409912;0;29986
320474;452386.931970892;4446247.72226566;20545;19584
320470;436292.12476145;4493028.09669372;2398;39416
320457;428864.823807854;4437901.7343537;50598;48987
