id;x;y;col_1;col_2
332741;417239.344203873;4410208.40317137;6023;4019
332747;597849.202914116;4286518.42486085;54398;30678
332748;448536.769076507;4485057.83494169;14148;3679
332749;470054.307296943;4468582.710916;34634;40031
332750;441726.82036241;4515111.4044741;34988;18434
332753;432058.13353478;4444483.50083283;13832;13924
332754;565473.708228815;4388671.95984652;3438;554
332762;438700.611774103;4481118.63794746;49746;25651
332765;448257.678077046;4506674.80213369;15381;5804
332772;449629.823673253;4522224.52308609;36878;13197
332775;449207.488524054;4481835.54236261;6188;7915
332784;376896.645335662;4649642.68382127;7991;20595
332785;582997.491219699;4671291.49659251;13301;7569
333277;423850.05184333;4494013.13796316;9743;15835
332816;440350.408138761;4511725.20002708;56742;36329
332818;425561.991424194;4471904.3624337;37659;35814
332821;439924.166276538;4695650.38207109;46446;4112
332822;455755.065881677;4507044.79425013;62271;4082
332823;274596.638507742;4482973.79210426;4470;42963
332826;468616.981546273;4529337.54718875;13936;16231
332827;477217.233425828;4339292.39718701;706;11678
332828;449100.761541457;4506897.46567111;19851;23272
332843;434692.629548402;4467065.32847582;5335;4323
332859;292822.04310843;4752801.87847685;17120;310
332869;423086.71583271;4458378.0168322;7844;40589
332873;350727.97086013;4563904.22926001;33956;22827
332876;421022.541353791;4447319.50456448;13554;36866
332880;399776.82425385;4259019.90468229;5062;5740
332883;276379.380352646;4543176.77082042;14196;15801
332884;451796.343020422;4426835.70158709;22349;31703
332896;357682.31525507;4579235.81620081;58615;16795
332901;446993.626532219;4480391.45026675;7629;4449
332905;431161.998371922;4477009.86396986;17545;12382
332910;446873.496889177;4441801.24542836;6959;8914
332927;443839.755425871;4525709.60962583;32548;26504
332928;415573.042468408;4344133.70200465;18965;16315
332929;276373.658329235;4487534.12648261;6633;11126
332930;280740.218020126;4685296.90970204;13883;14708
332933;446373.160882709;4456707.50830201;14015;9951
332937;462709.328910565;4459723.70793085;31942;19896
332938;450869.051928841;4480370.95972408;33359;16310
332941;343067.88268023;4414872.0863394;10412;27306
332944;440705.463339128;4677619.85309287;66444;27443
332949;421625.522713804;4474311.29626198;3008;4560
332953;443030.43711993;4445264.38867249;22443;19566
332959;278314.515824882;4508338.93005454;18401;4525
332961;470373.835909958;4456513.16875656;8346;6605
332962;437391.009737591;4472339.10839046;67606;27304
332963;422579.266729324;4510143.88180042;36948;21945
332964;349637.311279802;4660357.50747345;86850;57284
332967;581170.654453186;4684158.91101951;20696;8315
332974;494195.842009692;4307699.3690922;14246;9734
332987;418406.910313288;4448851.27119566;8724;12798
332989;431963.492363539;4469745.78717021;35612;53006
332995;427558.61959479;4427686.13766371;71185;53085
333177;411469.01533247;4523367.55213311;44103;15000
333004;484622.528539223;4521048.86861546;19655;18986
333008;425199.520990326;4480463.23914317;14324;42059
333010;450901.311086607;4451355.5440066;21975;45599
333026;471411.211157565;4456248.63152724;5072;2895
333017;432813.039844504;4502042.49612679;140296;28696
333020;432021.11775952;4424127.97598903;24468;7998
333025;466823.501642536;4484709.34925417;44922;30197
333027;435513.62119672;4482753.9561073;36306;39397
333030;425560.212407122;4465568.10197476;9833;15810
333041;459328.520966015;4485747.51804166;9880;14718
333043;442402.141519689;4460324.45539111;17535;5127
333059;548831.92675408;4691847.21096082;22815;54938
333065;443980.091014561;4521953.25044575;74858;36674
333105;449053.574383103;4471412.3431431;22217;1938
333067;429063.489518389;4487785.35026047;4548;2771
333071;279139.671492118;4384150.61774406;4518;3991
333076;289603.208544292;4694296.18207292;12192;24424
333082;349777.914788335;4384400.03120594;50946;43388
333083;439257.608809272;4466860.93575753;87424;29496
333168;432018.973342955;4436559.97615607;59106;24894
333085;467747.385118949;4538013.04265283;68718;9168
333088;596467.126609232;4316685.51673255;19707;17241
333094;401488.277066359;4545831.94928968;14821;5705
333095;419886.680619534;4393115.69878418;30477;43160
333097;444824.33655452;4508458.9643209;16561;22113
333098;426216.048687275;4497005.86079873;23517;89982
333116;446011.750070678;4544346.55572818;12710;43156
333125;423209.008603244;4464763.20408906;4082;8814
